...1,ISO,year,Value,Module,Policy,Broad Category,Market_non_market,Buildingblock,PriorityArea_new,Policy_new,Policytype_detail_new,Policytype,Policy_name_fig_1,Policy_name_fig_2_3,Policy_name_fig_4,Cluster_categories,Policy Name (our short framing),prev_value,introduction,jump,intensification,intensification_jump,is_price,is_subsidy,is_standard,is_reg,priceintro,regintro,subsidyintro,standardintro,price,reg,subsidy,standard,state,first_price_year,first_reg_year,path_group,path
21280,EU27_2020,2019,7.5,Electricity,Emissions trading schemes - Electricity,Taxation,Market,Sectoral,Electricity,ETS Electricity,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,7,0,0.5,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21314,EU27_2020,2019,1.75,Electricity,Feed in tariffs for solar PV and wind,Renewable subsidy,Market,Sectoral,Electricity,Feed-In-Tariffs,Subsidy,MBI,Renewable feed in tariff,Renewable feed in tariff,Renewable subsidy,Subsidy,Renewable feed in tariff,1.75,0,0,0,NA,0,1,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21348,EU27_2020,2019,1,Electricity,Fossil fuels excise taxes - Electricity,Taxation,Market,Sectoral,Electricity,Excise Taxes Electricity,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21382,EU27_2020,2019,7,Electricity,Fossil fuels subsidies refrom - Electricity,Fuel subsidy reform,Market,Sectoral,Electricity,Fossil Fuel Subsidies Electricity,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,7,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21416,EU27_2020,2019,6,Electricity,Planning for renewables expansion,Planning,Non-market,Sectoral,Electricity,PlanningRenewablesExpansion,Other regulatory instruments,NMBI,Renewable expansion planning,Renewable expansion planning,Renewable planning,Regulation,Renewable expansion planning,6,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21450,EU27_2020,2019,2,Electricity,RPS with tradeable renewable energy certificates,Renewable portfolio standard,Non-market,Sectoral,Electricity,Renewable energy certificates,Subsidy,MBI,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Regulation,Renewable portfolio standard,2,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21145,EU27_2020,2020,8,Electricity,Air pollution standards for coal power plants,Air pollution standard,Non-market,Sectoral,Electricity,AirEmissionStandards,Performance Standards,NMBI,Air pollution standard,Air pollution standard,Air pollution standard,Regulation,Air pollution standard,8,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21179,EU27_2020,2020,3.25,Electricity,Auctions for solar PV and wind,Renewable subsidy,Market,Sectoral,Electricity,Auction,Subsidy,MBI,Renewable auction,Renewable auction,Renewable subsidy,Subsidy,Renewable auction,2.25,0,1,0,NA,0,1,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21213,EU27_2020,2020,0,Electricity,Ban on the construction of new and phase out of existing unabated coal plants,Ban,Non-market,Sectoral,Electricity,BanPhaseOutCoal,Technology Standards,NMBI,Ban & phase out (coal plants),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of coal plants,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21247,EU27_2020,2020,1,Electricity,Carbon tax - Electricity,Taxation,Market,Sectoral,Electricity,Carbon Tax Electricity,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21281,EU27_2020,2020,8,Electricity,Emissions trading schemes - Electricity,Taxation,Market,Sectoral,Electricity,ETS Electricity,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,7.5,0,0.5,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21315,EU27_2020,2020,1.25,Electricity,Feed in tariffs for solar PV and wind,Renewable subsidy,Market,Sectoral,Electricity,Feed-In-Tariffs,Subsidy,MBI,Renewable feed in tariff,Renewable feed in tariff,Renewable subsidy,Subsidy,Renewable feed in tariff,1.75,0,-0.5,0,NA,0,1,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21349,EU27_2020,2020,1,Electricity,Fossil fuels excise taxes - Electricity,Taxation,Market,Sectoral,Electricity,Excise Taxes Electricity,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21383,EU27_2020,2020,7,Electricity,Fossil fuels subsidies refrom - Electricity,Fuel subsidy reform,Market,Sectoral,Electricity,Fossil Fuel Subsidies Electricity,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,7,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21417,EU27_2020,2020,6,Electricity,Planning for renewables expansion,Planning,Non-market,Sectoral,Electricity,PlanningRenewablesExpansion,Other regulatory instruments,NMBI,Renewable expansion planning,Renewable expansion planning,Renewable planning,Regulation,Renewable expansion planning,6,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21451,EU27_2020,2020,2,Electricity,RPS with tradeable renewable energy certificates,Renewable portfolio standard,Non-market,Sectoral,Electricity,Renewable energy certificates,Subsidy,MBI,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Regulation,Renewable portfolio standard,2,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21146,EU27_2020,2021,8,Electricity,Air pollution standards for coal power plants,Air pollution standard,Non-market,Sectoral,Electricity,AirEmissionStandards,Performance Standards,NMBI,Air pollution standard,Air pollution standard,Air pollution standard,Regulation,Air pollution standard,8,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21180,EU27_2020,2021,3.25,Electricity,Auctions for solar PV and wind,Renewable subsidy,Market,Sectoral,Electricity,Auction,Subsidy,MBI,Renewable auction,Renewable auction,Renewable subsidy,Subsidy,Renewable auction,3.25,0,0,0,NA,0,1,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21214,EU27_2020,2021,0,Electricity,Ban on the construction of new and phase out of existing unabated coal plants,Ban,Non-market,Sectoral,Electricity,BanPhaseOutCoal,Technology Standards,NMBI,Ban & phase out (coal plants),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of coal plants,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21248,EU27_2020,2021,1,Electricity,Carbon tax - Electricity,Taxation,Market,Sectoral,Electricity,Carbon Tax Electricity,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21282,EU27_2020,2021,9,Electricity,Emissions trading schemes - Electricity,Taxation,Market,Sectoral,Electricity,ETS Electricity,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,8,0,1,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21316,EU27_2020,2021,1.25,Electricity,Feed in tariffs for solar PV and wind,Renewable subsidy,Market,Sectoral,Electricity,Feed-In-Tariffs,Subsidy,MBI,Renewable feed in tariff,Renewable feed in tariff,Renewable subsidy,Subsidy,Renewable feed in tariff,1.25,0,0,0,NA,0,1,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21350,EU27_2020,2021,1,Electricity,Fossil fuels excise taxes - Electricity,Taxation,Market,Sectoral,Electricity,Excise Taxes Electricity,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21384,EU27_2020,2021,7,Electricity,Fossil fuels subsidies refrom - Electricity,Fuel subsidy reform,Market,Sectoral,Electricity,Fossil Fuel Subsidies Electricity,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,7,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21418,EU27_2020,2021,6,Electricity,Planning for renewables expansion,Planning,Non-market,Sectoral,Electricity,PlanningRenewablesExpansion,Other regulatory instruments,NMBI,Renewable expansion planning,Renewable expansion planning,Renewable planning,Regulation,Renewable expansion planning,6,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21452,EU27_2020,2021,2,Electricity,RPS with tradeable renewable energy certificates,Renewable portfolio standard,Non-market,Sectoral,Electricity,Renewable energy certificates,Subsidy,MBI,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Regulation,Renewable portfolio standard,2,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21147,EU27_2020,2022,8,Electricity,Air pollution standards for coal power plants,Air pollution standard,Non-market,Sectoral,Electricity,AirEmissionStandards,Performance Standards,NMBI,Air pollution standard,Air pollution standard,Air pollution standard,Regulation,Air pollution standard,8,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21181,EU27_2020,2022,3.25,Electricity,Auctions for solar PV and wind,Renewable subsidy,Market,Sectoral,Electricity,Auction,Subsidy,MBI,Renewable auction,Renewable auction,Renewable subsidy,Subsidy,Renewable auction,3.25,0,0,0,NA,0,1,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21215,EU27_2020,2022,0,Electricity,Ban on the construction of new and phase out of existing unabated coal plants,Ban,Non-market,Sectoral,Electricity,BanPhaseOutCoal,Technology Standards,NMBI,Ban & phase out (coal plants),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of coal plants,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21249,EU27_2020,2022,1,Electricity,Carbon tax - Electricity,Taxation,Market,Sectoral,Electricity,Carbon Tax Electricity,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21283,EU27_2020,2022,9,Electricity,Emissions trading schemes - Electricity,Taxation,Market,Sectoral,Electricity,ETS Electricity,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,9,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21317,EU27_2020,2022,1.25,Electricity,Feed in tariffs for solar PV and wind,Renewable subsidy,Market,Sectoral,Electricity,Feed-In-Tariffs,Subsidy,MBI,Renewable feed in tariff,Renewable feed in tariff,Renewable subsidy,Subsidy,Renewable feed in tariff,1.25,0,0,0,NA,0,1,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21351,EU27_2020,2022,1,Electricity,Fossil fuels excise taxes - Electricity,Taxation,Market,Sectoral,Electricity,Excise Taxes Electricity,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21385,EU27_2020,2022,7,Electricity,Fossil fuels subsidies refrom - Electricity,Fuel subsidy reform,Market,Sectoral,Electricity,Fossil Fuel Subsidies Electricity,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,7,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21419,EU27_2020,2022,6,Electricity,Planning for renewables expansion,Planning,Non-market,Sectoral,Electricity,PlanningRenewablesExpansion,Other regulatory instruments,NMBI,Renewable expansion planning,Renewable expansion planning,Renewable planning,Regulation,Renewable expansion planning,6,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21453,EU27_2020,2022,2,Electricity,RPS with tradeable renewable energy certificates,Renewable portfolio standard,Non-market,Sectoral,Electricity,Renewable energy certificates,Subsidy,MBI,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Regulation,Renewable portfolio standard,2,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,both,1996,2002,price_first,price_first
21461,EU27_2020,1996,1,Industry,Carbon tax - Industry,Taxation,Market,Sectoral,Industry,Carbon Tax Industry,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,1,1,0,NA,1,0,0,0,1,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21495,EU27_2020,1996,0,Industry,Emissions trading schemes - Industry,Taxation,Market,Sectoral,Industry,ETS Industry,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21529,EU27_2020,1996,NA,Industry,Energy efficiency mandates,Energy efficiency mandate,Non-market,Sectoral,Industry,EnergyEfficiencyMandates,Other regulatory instruments,NMBI,Energy efficiency mandate,Energy efficiency mandate,Energy efficiency mandate,Regulation,Energy efficiency mandate,NA,0,NA,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21563,EU27_2020,1996,NA,Industry,Financing mechanism for energy efficiency - Industry,Green subsidy,Market,Sectoral,Industry,Financing Mechanism Industry,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21597,EU27_2020,1996,0.33333334,Industry,Fossil fuels excise taxes - Industry,Taxation,Market,Sectoral,Industry,Excise Taxes Industry,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0.33333334,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21631,EU27_2020,1996,NA,Industry,Fossil fuels subsidies reform - Industry,Fuel subsidy reform,Market,Sectoral,Industry,Fossil Fuel Subsidies Industry,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21665,EU27_2020,1996,0,Industry,Minimum energy performance standards - Electric motors,Minimum energy performance standard,Non-market,Sectoral,Industry,MEPS electric motors,Performance Standards,NMBI,Performance standard (electric motors),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21462,EU27_2020,1997,1,Industry,Carbon tax - Industry,Taxation,Market,Sectoral,Industry,Carbon Tax Industry,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21496,EU27_2020,1997,0,Industry,Emissions trading schemes - Industry,Taxation,Market,Sectoral,Industry,ETS Industry,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21530,EU27_2020,1997,NA,Industry,Energy efficiency mandates,Energy efficiency mandate,Non-market,Sectoral,Industry,EnergyEfficiencyMandates,Other regulatory instruments,NMBI,Energy efficiency mandate,Energy efficiency mandate,Energy efficiency mandate,Regulation,Energy efficiency mandate,NA,0,NA,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21564,EU27_2020,1997,NA,Industry,Financing mechanism for energy efficiency - Industry,Green subsidy,Market,Sectoral,Industry,Financing Mechanism Industry,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21598,EU27_2020,1997,0.33333334,Industry,Fossil fuels excise taxes - Industry,Taxation,Market,Sectoral,Industry,Excise Taxes Industry,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0.33333334,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21632,EU27_2020,1997,NA,Industry,Fossil fuels subsidies reform - Industry,Fuel subsidy reform,Market,Sectoral,Industry,Fossil Fuel Subsidies Industry,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21666,EU27_2020,1997,0,Industry,Minimum energy performance standards - Electric motors,Minimum energy performance standard,Non-market,Sectoral,Industry,MEPS electric motors,Performance Standards,NMBI,Performance standard (electric motors),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21463,EU27_2020,1998,1,Industry,Carbon tax - Industry,Taxation,Market,Sectoral,Industry,Carbon Tax Industry,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21497,EU27_2020,1998,0,Industry,Emissions trading schemes - Industry,Taxation,Market,Sectoral,Industry,ETS Industry,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21531,EU27_2020,1998,NA,Industry,Energy efficiency mandates,Energy efficiency mandate,Non-market,Sectoral,Industry,EnergyEfficiencyMandates,Other regulatory instruments,NMBI,Energy efficiency mandate,Energy efficiency mandate,Energy efficiency mandate,Regulation,Energy efficiency mandate,NA,0,NA,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21565,EU27_2020,1998,NA,Industry,Financing mechanism for energy efficiency - Industry,Green subsidy,Market,Sectoral,Industry,Financing Mechanism Industry,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21599,EU27_2020,1998,0.33333334,Industry,Fossil fuels excise taxes - Industry,Taxation,Market,Sectoral,Industry,Excise Taxes Industry,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0.33333334,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21633,EU27_2020,1998,NA,Industry,Fossil fuels subsidies reform - Industry,Fuel subsidy reform,Market,Sectoral,Industry,Fossil Fuel Subsidies Industry,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21667,EU27_2020,1998,0,Industry,Minimum energy performance standards - Electric motors,Minimum energy performance standard,Non-market,Sectoral,Industry,MEPS electric motors,Performance Standards,NMBI,Performance standard (electric motors),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21464,EU27_2020,1999,1,Industry,Carbon tax - Industry,Taxation,Market,Sectoral,Industry,Carbon Tax Industry,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21498,EU27_2020,1999,0,Industry,Emissions trading schemes - Industry,Taxation,Market,Sectoral,Industry,ETS Industry,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21532,EU27_2020,1999,NA,Industry,Energy efficiency mandates,Energy efficiency mandate,Non-market,Sectoral,Industry,EnergyEfficiencyMandates,Other regulatory instruments,NMBI,Energy efficiency mandate,Energy efficiency mandate,Energy efficiency mandate,Regulation,Energy efficiency mandate,NA,0,NA,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21566,EU27_2020,1999,NA,Industry,Financing mechanism for energy efficiency - Industry,Green subsidy,Market,Sectoral,Industry,Financing Mechanism Industry,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21600,EU27_2020,1999,0.33333334,Industry,Fossil fuels excise taxes - Industry,Taxation,Market,Sectoral,Industry,Excise Taxes Industry,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0.33333334,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21634,EU27_2020,1999,NA,Industry,Fossil fuels subsidies reform - Industry,Fuel subsidy reform,Market,Sectoral,Industry,Fossil Fuel Subsidies Industry,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21668,EU27_2020,1999,0,Industry,Minimum energy performance standards - Electric motors,Minimum energy performance standard,Non-market,Sectoral,Industry,MEPS electric motors,Performance Standards,NMBI,Performance standard (electric motors),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21465,EU27_2020,2000,1,Industry,Carbon tax - Industry,Taxation,Market,Sectoral,Industry,Carbon Tax Industry,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21499,EU27_2020,2000,0,Industry,Emissions trading schemes - Industry,Taxation,Market,Sectoral,Industry,ETS Industry,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21533,EU27_2020,2000,NA,Industry,Energy efficiency mandates,Energy efficiency mandate,Non-market,Sectoral,Industry,EnergyEfficiencyMandates,Other regulatory instruments,NMBI,Energy efficiency mandate,Energy efficiency mandate,Energy efficiency mandate,Regulation,Energy efficiency mandate,NA,0,NA,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21567,EU27_2020,2000,NA,Industry,Financing mechanism for energy efficiency - Industry,Green subsidy,Market,Sectoral,Industry,Financing Mechanism Industry,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21601,EU27_2020,2000,0.66666669,Industry,Fossil fuels excise taxes - Industry,Taxation,Market,Sectoral,Industry,Excise Taxes Industry,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0.33333334,0,0.33333335,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21635,EU27_2020,2000,NA,Industry,Fossil fuels subsidies reform - Industry,Fuel subsidy reform,Market,Sectoral,Industry,Fossil Fuel Subsidies Industry,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21669,EU27_2020,2000,0,Industry,Minimum energy performance standards - Electric motors,Minimum energy performance standard,Non-market,Sectoral,Industry,MEPS electric motors,Performance Standards,NMBI,Performance standard (electric motors),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21466,EU27_2020,2001,1,Industry,Carbon tax - Industry,Taxation,Market,Sectoral,Industry,Carbon Tax Industry,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21500,EU27_2020,2001,0,Industry,Emissions trading schemes - Industry,Taxation,Market,Sectoral,Industry,ETS Industry,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21534,EU27_2020,2001,NA,Industry,Energy efficiency mandates,Energy efficiency mandate,Non-market,Sectoral,Industry,EnergyEfficiencyMandates,Other regulatory instruments,NMBI,Energy efficiency mandate,Energy efficiency mandate,Energy efficiency mandate,Regulation,Energy efficiency mandate,NA,0,NA,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21568,EU27_2020,2001,NA,Industry,Financing mechanism for energy efficiency - Industry,Green subsidy,Market,Sectoral,Industry,Financing Mechanism Industry,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21602,EU27_2020,2001,0.66666669,Industry,Fossil fuels excise taxes - Industry,Taxation,Market,Sectoral,Industry,Excise Taxes Industry,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0.66666669,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21636,EU27_2020,2001,NA,Industry,Fossil fuels subsidies reform - Industry,Fuel subsidy reform,Market,Sectoral,Industry,Fossil Fuel Subsidies Industry,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21670,EU27_2020,2001,0,Industry,Minimum energy performance standards - Electric motors,Minimum energy performance standard,Non-market,Sectoral,Industry,MEPS electric motors,Performance Standards,NMBI,Performance standard (electric motors),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
21467,EU27_2020,2002,1,Industry,Carbon tax - Industry,Taxation,Market,Sectoral,Industry,Carbon Tax Industry,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,price,1996,2011,price_first,none
