"","Name","Module","year","Emissions_co2","Emissions_co2e","nonco2","ISO","Classification","lnEmissions_co2","lnEmissions_co2e","lnEmissions_nonco2"
"1044","Brazil","Industry","2023",132836.685062085,139081.84565527,317.643802264418,"BRA","UMICs",11.7968757208138,11.8428178564915,5.76093063631306
"1045","Brazil","Industry","2024",132859.086350648,139133.950583407,292.141809946747,"BRA","UMICs",11.7970443444129,11.8431924213398,5.6772393348808
"1046","Brazil","Transport","1970",37800.40311812,38709.6824633362,16.3903193529812,"BRA","UMICs",10.5400750460513,10.5638450405759,2.79669087718954
"1047","Brazil","Transport","1971",37800.403118119,38654.2917231575,15.9768577356645,"BRA","UMICs",10.5400750460513,10.5624130885537,2.77114128368486
"1048","Brazil","Transport","1972",42450.03619786,43428.2299791906,19.0467403923455,"BRA","UMICs",10.6560830444567,10.6788649689809,2.94689597891871
"1049","Brazil","Transport","1973",49871.06911448,51005.1815079213,22.8884199946923,"BRA","UMICs",10.8171963363389,10.8396825047403,3.13063110557474
"1050","Brazil","Transport","1974",52915.98652728,54112.1778530863,24.0283461318159,"BRA","UMICs",10.8764607749764,10.8988145384516,3.17923422223691
"1051","Brazil","Transport","1975",56633.042908791,57869.9591301142,24.4551712607752,"BRA","UMICs",10.9443478908232,10.9659536883315,3.19684169706536
"1052","Brazil","Transport","1976",60937.96763024,62231.7403560008,25.3954870178339,"BRA","UMICs",11.0176117016429,11.0386204436835,3.23457148177493
"1053","Brazil","Transport","1977",60302.468053231,61561.1414064396,24.2762316414316,"BRA","UMICs",11.0071283114503,11.0277861291461,3.18949774992148
"1054","Brazil","Transport","1978",64078.251842949,65418.7727825261,25.9861190289772,"BRA","UMICs",11.0678603005173,11.08856454186,3.25756251195406
"1055","Brazil","Transport","1979",65850.94642927,67269.3025044814,27.1844833606871,"BRA","UMICs",11.0951490795703,11.1164592823689,3.30264634584444
"1056","Brazil","Transport","1980",62788.020963209,64164.3227436261,25.542327037668,"BRA","UMICs",11.0475195852679,11.0692026147039,3.24033695990988
"1057","Brazil","Transport","1981",60932.26039208,62267.3391284608,24.8987052594851,"BRA","UMICs",11.017518040734,11.0391923157581,3.2148158045077
"1058","Brazil","Transport","1982",60327.07564013,61702.5484423968,25.4486843179611,"BRA","UMICs",11.0075362975288,11.0300805128071,3.23666404491998
"1059","Brazil","Transport","1983",55916.78761434,57280.2222676176,25.3567444616966,"BRA","UMICs",10.9316199291621,10.9557106819974,3.23304474836702
"1060","Brazil","Transport","1984",55295.08045558,56617.5174790943,23.0840766326978,"BRA","UMICs",10.9204392225329,10.9440737124043,3.1391430565754
"1061","Brazil","Transport","1985",56150.92012762,57544.1244310133,24.5701241222114,"BRA","UMICs",10.935798346989,10.9603073139078,3.20153123829938
"1062","Brazil","Transport","1986",64914.8844689,66545.6263660261,30.6995217312707,"BRA","UMICs",11.0808322210639,11.1056431021449,3.42424707568583
"1063","Brazil","Transport","1987",64578.85216515,66189.2277319169,30.2111883186221,"BRA","UMICs",11.0756422703102,11.1002730056014,3.40821232989879
"1064","Brazil","Transport","1988",65215.46055016,66815.7171482126,28.8976314989163,"BRA","UMICs",11.0854518448075,11.1096936184991,3.36375963670509
"1065","Brazil","Transport","1989",70087.723853529,71867.5808308243,33.1370452205009,"BRA","UMICs",11.157502934342,11.1825805495485,3.50065184750742
"1066","Brazil","Transport","1990",72807.82108356,74589.2761440717,33.7164069841686,"BRA","UMICs",11.1955786608808,11.2197520244387,3.51798457301293
"1067","Brazil","Transport","1991",76475.79712552,78502.7714044027,36.2340291238248,"BRA","UMICs",11.2447295923125,11.270889207662,3.58999870832412
"1068","Brazil","Transport","1992",77325.870568651,79558.0883036553,35.4059498198535,"BRA","UMICs",11.2557838560563,11.2842427043189,3.56687988002404
"1069","Brazil","Transport","1993",79987.92608214,82335.6161589651,36.0445606020264,"BRA","UMICs",11.2896309782926,11.3185590531847,3.5847559675208
"1070","Brazil","Transport","1994",84335.231774521,86937.5959214601,38.0119815257639,"BRA","UMICs",11.3425549899485,11.3729458520033,3.63790141333832
"1071","Brazil","Transport","1995",93366.343664339,96347.9865436504,41.0169853711649,"BRA","UMICs",11.4442862130704,11.4757217763086,3.71398625826063
"1072","Brazil","Transport","1996",101455.06237437,104938.380522329,45.6070727813751,"BRA","UMICs",11.5273712441999,11.5611286047062,3.82006280934754
"1073","Brazil","Transport","1997",108652.16055873,112432.04304003,48.8505030516947,"BRA","UMICs",11.5959068709791,11.6301042562413,3.88876467632102
"1074","Brazil","Transport","1998",113876.62036752,117930.145869064,49.7956265762691,"BRA","UMICs",11.6428708638136,11.6778477439955,3.90792716042059
"1075","Brazil","Transport","1999",111804.25482645,115797.944490184,48.1520750555434,"BRA","UMICs",11.6245048964606,11.6596020934469,3.87436423296546
"1076","Brazil","Transport","2000",112999.31602554,115648.212256276,41.0948605827696,"BRA","UMICs",11.6351370448048,11.6583082093151,3.71588306703526
"1077","Brazil","Transport","2001",114979.38966447,117699.938242409,41.2054145237438,"BRA","UMICs",11.6525081709746,11.6758937685448,3.71856966819978
"1078","Brazil","Transport","2002",117315.02784789,120141.8686339,41.7354051663251,"BRA","UMICs",11.6726181410809,11.6964285620863,3.73134981332614
"1079","Brazil","Transport","2003",117750.74935539,120647.179662988,42.9420409687909,"BRA","UMICs",11.6763253758108,11.7006256945925,3.7598513220335
"1080","Brazil","Transport","2004",125749.98897303,128846.290901982,44.0997876102573,"BRA","UMICs",11.7420510002724,11.7663754294961,3.78645496634726
"1081","Brazil","Transport","2005",125793.3133047,128916.16269472,43.8422376047149,"BRA","UMICs",11.742395468455,11.7669175704749,3.78059768159078
"1082","Brazil","Transport","2006",129494.60371587,132567.382403356,42.6515370371578,"BRA","UMICs",11.7713944891058,11.7948463415829,3.7530633116742
"1083","Brazil","Transport","2007",133684.985778,136875.506666585,42.5576781035669,"BRA","UMICs",11.8032414589382,11.8268270812197,3.75086028770792
"1084","Brazil","Transport","2008",138141.6949896,141532.600856256,43.4784857364926,"BRA","UMICs",11.8360352126531,11.8602853642725,3.77226623497894
"1085","Brazil","Transport","2009",135762.26909463,138910.790730302,41.2256322056754,"BRA","UMICs",11.8186606137831,11.8415872127682,3.7190602038205
"1086","Brazil","Transport","2010",152776.42777671,156264.047242134,43.3097259305833,"BRA","UMICs",11.9367308753369,11.9593024659073,3.76837722712023
"1087","Brazil","Transport","2011",169401.49231098,173020.858604527,44.1913894543161,"BRA","UMICs",12.0400268705531,12.0611674361803,3.78852996138009
"1088","Brazil","Transport","2012",185982.4852632,189839.794876128,46.1044127587811,"BRA","UMICs",12.1334077830099,12.1539358105998,3.83090866687021
"1089","Brazil","Transport","2013",192821.51176212,196793.570947078,45.112704158568,"BRA","UMICs",12.1695202304642,12.1899105951148,3.80916389550188
"1090","Brazil","Transport","2014",197340.25585296,201442.588406043,45.0938007720168,"BRA","UMICs",12.1926847049187,12.2132596987093,3.80874478189488
"1091","Brazil","Transport","2015",183835.89555042,187818.692386044,41.7564928196325,"BRA","UMICs",12.1217987666281,12.1432323742752,3.73185495584331
"1092","Brazil","Transport","2016",182947.19423691,186699.326674142,38.3763770021577,"BRA","UMICs",12.1169528341008,12.1372547230645,3.64744208805597
"1093","Brazil","Transport","2017",184611.44213058,188381.027448405,38.1321818615881,"BRA","UMICs",12.1260085825026,12.1462219324887,3.64105859388431
"1094","Brazil","Transport","2018",174498.12921546,178190.871281828,35.8883950301742,"BRA","UMICs",12.0696692997388,12.090610565332,3.58041398502262
"1095","Brazil","Transport","2019",176395.31595027,180169.161628328,36.8633048233005,"BRA","UMICs",12.0804828686324,12.1016514753732,3.60721660702074
"1096","Brazil","Transport","2020",170554.97818116,174178.858788759,34.4763541506384,"BRA","UMICs",12.0468129764044,12.0678379743178,3.54027370211429
"1097","Brazil","Transport","2021",186669.51082746,190554.208155988,36.8435594380613,"BRA","UMICs",12.1370950105028,12.1576919903194,3.60668082555969
"1098","Brazil","Transport","2022",197572.42666407,201620.861415984,38.8869788625137,"BRA","UMICs",12.1938605133854,12.2141442890717,3.66065946097713
"1099","Brazil","Transport","2023",203718.58060936,207916.412396521,40.544776687059,"BRA","UMICs",12.224494813614,12.2448914144364,3.70240696060133
"1100","Brazil","Transport","2024",204274.949012984,208541.11014134,40.9938776701662,"BRA","UMICs",12.227222154653,12.247891471727,3.7134227304363
"1101","Bulgaria","Buildings","1970",3650.77918642,4046.3019461144,13.30229205016,"BGR","HICs",8.20269589952534,8.30555864324625,2.5879363549783
"1102","Bulgaria","Buildings","1971",3650.77918642,4046.3019461144,13.30229205016,"BGR","HICs",8.20269589952534,8.30555864324625,2.5879363549783
"1103","Bulgaria","Buildings","1972",3402.46239155,3766.0935218984,12.21860275416,"BGR","HICs",8.13225468128305,8.2337935421266,2.50295960630259
"1104","Bulgaria","Buildings","1973",4050.3242870299,4464.2310015273,13.95248251016,"BGR","HICs",8.30655222776666,8.40385225037625,2.63565745015234
"1105","Bulgaria","Buildings","1974",4149.24320324,4565.9802735636,14.04860983684,"BGR","HICs",8.33068123592996,8.4263885067921,2.64252344688732
"1106","Bulgaria","Buildings","1975",4174.22056535,4591.4138364936,14.06373522377,"BGR","HICs",8.3366829289219,8.43194328100438,2.64359951424185
"1107","Bulgaria","Buildings","1976",3644.6722988101,4018.3598753522,12.56012623358,"BGR","HICs",8.20102173609662,8.29862910715609,2.53052721143381
